Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2018,"12        ",Male,17,Right-Handed,181,40,100,3,Car,15,0.5,50,Soccer,300,300,400,600,600,700,40,"Same length",100,100,"Same length",October,Summer,Yes,No,"Rice/Noodle dishes",Juice,"Computers and technology",6,9,4,"Yes - broadband connection","Text messaging",10,4,4,1,10,5,1,20,3,3,2,0,15,5,Some,"Undergraduate degree",Pop,Telepathy,Rich,"Business person","International aid"
USA,NY,2021,"12        ",Male,17,Right-Handed,191,27,193,1,Car,17,.3,40,"Football (American)",950,750,500,450,600,950,192,"Right foot",85,85,"Same length",April,Summer,Yes,No,Meat,"Soft drink (caffeinated)",Science,6,8,4,"Yes - broadband connection","Text messaging",200,200,8,6,21,7,3,1,6,2,15,0,0,3,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Teacher,Environment
USA,NY,2011,"11        ",Female,16,Right-Handed,163,24,163,1,Bus,40,.319,39,Bowling,342,251,353,,273,396,23,"Right foot",92,92,"Same length",June,Fall,Yes,No,"No favorite",Juice,,7,9.5,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,12,13,1,9,18,11,0,10,9,19,22,0,7,Some,"Undergraduate degree","Punk rock",Fly,Happy,,
USA,NY,2015,"6         ",Female,11,Right-Handed,147,22,147,1,Bus,45,0.605,87,"Hockey (Ice)",1000,513,818,824,0,0,22,"Same length",7,5,"Index finger",July,Fall,Yes,No,"Rice/Noodle dishes",Tea,"Mathematics and statistics",9,7,3,"No internet connection","Text messaging",0,0,16,2,1,18,3,1,2,1,1,2,0,2,Some,"Less than high school",Country,Telepathy,Healthy,Relative,Environment
USA,NY,2018,"6         ",Female,11,Right-Handed,5,274,137,2,Walk,2,2.5,41,Swimming,701,802,636,1000,139,1000,274,"Same length",76,76,"Same length",July,Summer,No,No,Salads,Water,Other,9,10,6,"Yes - other","Text messaging",55,95,1,2,1,8,2,2,0,1,3,0,0,1,Some,"Some college","Rap/Hip hop",Invisibility,Healthy,"Doctor or nurse",Health
USA,NY,2019,"12        ",Male,17,Right-Handed,165,24,163,4,Skateboard/Scooter/Rollerblade,30,0.693,80,Soccer,85,90,95,100,70,100,24,"Same length",66,70,"Ring finger",October,Summer,No,No,Meat,Water,"Physical education",7,10,5,"Yes - broadband connection","Internet chat or instant messaging",70,150,10,2,4,4,3,15,20,10,20,0,15,0,Some,"Graduate degree",Other,"Freeze time",Rich,"Doctor or nurse",Health
USA,NY,2021,"11        ",Male,16,Right-Handed,168,23,164,2,"Rail (Train/Tram/Subway)",45,0.398,31,Walking/Hiking,813,642,610,973,380,508,23,"Same length",76.2,88.9,"Ring finger",June,Fall,Yes,No,Poultry,Water,Other,7,8,4,"Yes - broadband connection","Internet chat or instant messaging",16,14,0,8,10,5,0,13,5,5,18,5,0,2,Some,Other,"Rock and roll",Invisibility,Healthy,Other,Health
USA,NY,2023,"12        ",Male,16,Right-Handed,169,25,170,2,"Rail (Train/Tram/Subway)",30,0.2,40,Soccer,800,1000,700,700,428,850,24,"Right foot",6,"7 1/2","Ring finger",November,Fall,No,No,Meat,Water,"Physical education",7,10,5,"Yes - other","In person",0,4,27,1,1,25,27,20,1,1,18,15,0,0,Some,"High school","Rap/Hip hop","Freeze time",Rich,Relative,Religious
USA,NY,2018,"11        ",Female,16,Ambidextrous,162,24,60,1,"Rail (Train/Tram/Subway)",30,0.016,40,Other,100,50,100,100,100,100,24.5,"Left foot",7,11,"Ring finger",June,Summer,Yes,No,Seafood,Water,English,8,10,3,"Yes - other","Text messaging",50,150,40,1,0,3,16,24,168,168,168,0,0,2,"A lot","High school","Rhythm and blues (R&B)",Telepathy,Rich,Friend,"Arts, culture, sports"
USA,NY,2022,"9         ",Male,15,Ambidextrous,175,25,177,1,Bus,20,41,47,Basketball,0\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"12        ",Female,17,Right-Handed,179,24.5,182.5,3,Bus,35,.408,78,Swimming,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2019,"12        ",Female,17,Right-Handed,162.5,21.5,162.5,1,Car,5,.408,33,Basketball,700,800,1000,900,800,1000,19,"Right foot",65,60,"Index finger",September,Summer,Yes,No,Meat,Water,English,7.5,9,5,"Yes - other","Text messaging",140,200,10,15,10,7,0,14,30,80,60,5,16,10,"A lot","Graduate degree",Pop,Telepathy,Famous,Relative,Health
USA,NY,2022,"12        ",Male,18,Right-Handed,177,26,174,1,"Rail (Train/Tram/Subway)",18,.361,44,Other,508,642,332,107,679,738,26,"Same length",92,95,"Ring finger",April,Spring,Yes,No,Breads/Sandwiches,Water,"Computers and technology",7,9,5,"Yes - broadband connection","Internet chat or instant messaging",30,200,4,20,8,10,0,20,4,2,55,0,0,1,"Very little","Graduate degree",Other,"Freeze time",Happy,Teacher,"Education/Youth development"
